"gauge_id","latitude","longitude"
"301011281104010",44.0608,142.7222
"301011281104030",44.1094,142.5978
"301011281104040",44.1189,142.5342
"301011281104060",44.1903,142.4153
"301011281104080",44.3608,142.4433
"301011281104090",44.4808,142.3364
"301011281104100",44.5928,142.3022
"301011281104110",44.7047,142.2672
"301011281104120",44.8089,142.0706
"301011281104130",44.0886,142.7469
"301011281104140",44.1656,142.3767
"301011281104150",44.3008,142.6494
"301011281104170",44.3325,142.485
"301011281104190",44.4628,142.3647
"301011281104310",44.3186,142.4469
"301011281109010",44.8983,142.0075
"301011281109030",44.9261,141.8789
"301011281109040",44.9944,141.8144
"301011281109050",44.8922,141.7397
"301011281109060",45.0108,142.0783
"301011281109070",44.9586,142.0578
"301011281109080",44.9183,142.0178
"301011281109090",44.8864,141.9131
"301011281109110",45.0042,141.7061
"301011281109120",44.9867,141.7164
"301021281109010",43.8497,141.8061
"301021281109020",43.8561,141.7597
"301021281109030",43.9136,141.6981
"301021281109040",43.9367,141.6658
"301031281101010",43.7181,142.1333
"301031281101030",43.6772,141.9817
"301031281101040",43.6358,141.9181
"301031281101050",43.5592,141.8836
"301031281101070",43.4325,141.8394
"301031281101080",43.3322,141.6906
"301031281101090",43.2208,141.6658
"301031281101100",43.1222,141.5422
"301031281101150",44.0131,142.1511
"301031281101160",43.8067,142.0131
"301031281101200",43.1656,142.5864
"301031281101220",43.3639,142.3583
"301031281101230",43.5603,142.0439
"301031281101240",43.5483,141.9111
"301031281101270",43.2883,141.7144
"301031281101280",43.2506,141.6761
"301031281101290",43.2147,142.0561
"301031281101310",43.2556,141.9169
"301031281101320",43.24,141.8656
"301031281101330",43.2072,141.7261
"301031281101340",42.9464,141.8747
"301031281101370",43.0892,141.6878
"301031281101400",42.8458,141.6703
"301031281101410",42.9425,141.6514
"301031281101430",43.02,141.5775
"301031281101450",42.8728,141.1528
"301031281101470",42.9644,141.1592
"301031281101480",42.9736,141.1731
"301031281101490",42.9664,141.2842
"301031281101500",42.9664,141.3217
"301031281101520",43.0708,141.4011
"301031281101550",43.7094,141.9261
"301031281101580",43.2775,141.9711
"301031281101600",42.9103,141.7231
"301031281101610",42.8572,141.4033
"301031281101630",42.8786,141.5703
"301031281101670",42.9883,141.5644
"301031281101680",42.8656,141.16
"301031281101690",42.9314,141.1197
"301031281101700",42.9394,141.1258
"301031281101710",43.0331,141.1286
"301031281101730",42.9497,141.2861
"301031281101740",42.9431,141.3086
"301031281101750",42.9347,141.3297
"301031281101760",42.9861,141.3061
"301031281101770",43.0575,141.4317
"301031281101790",43.1122,141.4783
"301031281101800",43.1528,141.3706
"301031281101820",42.8642,141.4108
"301031281101830",43.0128,141.1539
"301031281101840",42.9769,141.1378
"301031281101860",43.1564,141.3517
"301031281101880",43.1592,141.3481
"301031281101890",42.9411,141.5689
"301031281101900",43.0089,141.3089
"301031281101910",42.9342,141.3411
"301031281101920",43.0006,141.3114
"301031281101930",42.9569,141.2628
"301031281101940",42.9375,141.2242
"301031281104010",43.6331,143.0103
"301031281104030",43.7267,142.9547
"301031281104040",43.8417,142.7644
"301031281104050",43.8894,142.6553
"301031281104060",43.8925,142.5219
"301031281104070",43.8156,142.4189
"301031281104080",43.7781,142.3583
"301031281104090",43.7642,142.2756
"301031281104100",43.6456,143.0658
"301031281104120",43.8628,142.8428
"301031281104140",43.8017,142.4761
"301031281104150",43.7881,142.4425
"301031281104160",43.7747,142.3725
"301031281104170",43.6492,142.5864
"301031281104180",43.6928,142.5008
"301031281104190",43.7031,142.4694
"301031281104200",43.7481,142.3764
"301031281104210",43.5858,142.4561
"301031281104220",43.6431,142.3961
"301031281104230",43.68,142.3778
"301031281104240",43.665,142.4033
"301031281104250",43.8244,142.3292
"301031281104260",43.2967,142.3953
"301031281104270",43.8086,142.4661
"301031281104280",43.6203,142.7539
"301031281104290",43.6314,142.6892
"301031281104300",43.8047,142.4869
"301041281103010",42.7892,140.9342
"301041281103020",42.8858,140.7528
"301041281103030",42.8011,140.5994
"301041281103040",42.8153,140.5289
"301041281103050",42.8106,140.4611
"301051281102010",42.5069,140.1911
"301051281102020",42.4283,140.1536
"301051281102030",42.4111,140.105
"301051281102040",42.4208,140.0094
"301051281102050",42.4172,139.9208
"301051281102070",42.4992,140.2306
"301051281102080",42.4933,140.1603
"301061281105010",42.8903,142.2547
"301061281105020",42.7589,142.1364
"301061281105030",42.6581,142.0714
"301061281105040",42.5733,141.9367
"301061281105050",42.8508,142.1722
"301071281105010",42.7114,142.2461
"301071281105020",42.5825,142.1414
"301071281105030",42.5172,142.0314
"301071281105040",42.6806,142.3858
"301071281105050",42.6686,142.2461
"301081281107010",43.3228,142.9433
"301081281107020",43.0675,142.9258
"301081281107030",43.0131,142.9381
"301081281107040",42.9308,143.0469
"301081281107050",42.9344,143.2033
"301081281107060",42.9197,143.3839
"301081281107070",42.8078,143.5117
"301081281107100",43.4178,142.8664
"301081281107110",43.4122,142.8781
"301081281107120",42.92,143.0317
"301081281107130",42.8019,142.9569
"301081281107140",43.0547,143.0858
"301081281107150",43.1858,143.225
"301081281107160",43.0075,143.2
"301081281107170",42.9333,143.2094
"301081281107180",42.6114,142.8697
"301081281107200",42.6033,142.9869
"301081281107210",42.6422,143.0917
"301081281107220",42.7978,143.1567
"301081281107230",42.8397,143.1881
"301081281107240",42.9258,143.2289
"301081281107250",42.6994,143.0583
"301081281107260",42.7325,143.1089
"301081281107270",42.6917,143.0633
"301081281107280",42.9467,143.2697
"301081281107290",42.9133,143.2819
"301081281107300",42.9103,143.3564
"301081281107310",43.3586,143.6069
"301081281107320",43.0944,143.5164
"301081281107330",42.9311,143.4433
"301081281107340",43.2467,143.5678
"301081281107350",42.9197,143.4764
"301081281107360",42.7992,143.4717
"301081281107370",42.7742,143.5972
"301081281107380",42.765,143.6111
"301081281107420",42.7956,143.65
"301091281106010",43.5547,144.3575
"301091281106020",43.4883,144.4506
"301091281106030",43.4022,144.5306
"301091281106040",43.2997,144.6008
"301091281106050",43.2403,144.5378
"301091281106060",43.0853,144.4269
"301091281106070",43.0556,144.3975
"301091281106090",43.4831,144.4628
"301091281106100",43.2892,144.5367
"301091281106110",43.22,144.4311
"301091281106120",43.2164,144.3431
"301091281106130",43.1575,144.3256
"301101281108010",43.7114,144.0086
"301101281108020",43.8361,144.0981
"301101281108030",43.8978,144.1328
"301101281108050",44.0047,144.2308
"301101281108060",43.8292,144.1219
"301101281108070",43.9306,144.21
"301111281108020",43.6822,143.5994
"301111281108030",43.7547,143.84
"301111281108040",43.7994,143.9128
"301111281108050",43.9214,143.9675
"301111281108060",44.0125,143.9856
"301111281108070",44.0578,144.0311
"301111281108100",43.7881,143.6208
"301111281108110",43.7886,143.8897
"301111281108120",43.9125,143.9114
"301121281108010",44.0058,143.3383
"301121281108020",44.0522,143.5194
"301121281108030",44.0994,143.5436
"301121281108040",44.1992,143.5928
"301121281108050",44.0528,143.5439
"301131281108010",44.1922,143.0764
"301131281108020",44.2494,143.2594
"301131281108030",44.3494,143.2744
"301131281108040",44.3794,143.3011
"301131281108050",44.1369,143.2006
"302011282206030",38.0958,140.8717
"302011282206060",38.0183,140.8014
"302011282206080",37.9217,140.7558
"302011282206090",37.9261,140.7536
"302011282206100",38.0619,140.7706
"302011282218010",37.8675,140.6092
"302011282218020",37.8325,140.6172
"302011282218040",37.8286,140.5203
"302011282218050",37.8111,140.4958
"302011282218070",37.7814,140.4433
"302011282218080",37.7608,140.3775
"302011282218090",37.7553,140.4022
"302011282218100",37.7497,140.4689
"302011282218110",37.7511,140.4528
"302011282218120",37.7497,140.3875
"302011282218140",37.7356,140.3886
"302011282218150",37.7272,140.4731
"302011282218170",37.6825,140.3275
"302011282218210",37.5944,140.465
"302011282218220",37.5819,140.5131
"302011282218250",37.5158,140.4044
"302011282218270",37.4081,140.4094
"302011282218290",37.3464,140.3736
"302011282218300",37.3011,140.3853
"302011282218310",37.2872,140.3536
"302011282218320",37.2725,140.4069
"302011282218330",37.1419,140.415
"302011282218350",37.1344,140.2094
"302011282228080",37.4153,140.6078
"302011282228090",37.4369,140.6483
"302011282228100",37.4242,140.5247
"302011282228110",37.3703,140.4289
"302021282206010",38.1781,140.9519
"302021282206030",38.2061,140.8861
"302021282206050",38.2358,140.8892
"302021282206060",38.2686,140.8089
"302021282224020",38.2347,140.7078
"302021282224030",38.1989,140.7269
"302021282224050",38.2094,140.6367
"302021282224060",38.1725,140.6653
"302021282224070",38.2006,140.6053
"302021282224990",38.2181,140.815
"302031282207050",38.5272,141.0586
"302031282207070",38.5272,140.9489
"302031282207110",38.435,141.1161
"302031282207120",38.4422,141.0678
"302031282207140",38.4317,140.8906
"302031282207150",38.4281,140.9294
"302041282204020",39.7139,141.1303
"302041282204030",39.6906,141.1519
"302041282204080",39.5525,141.1756
"302041282204110",39.3917,141.1297
"302041282204150",39.2611,141.1222
"302041282204180",39.1958,141.1272
"302041282204200",39.1678,141.1547
"302041282204230",39.0653,141.1625
"302041282204250",39.02,141.1322
"302041282204270",38.9483,141.1708
"302041282204280",38.9508,141.1925
"302041282204310",38.8994,141.2633
"302041282204320",38.8433,141.2689
"302041282204330",39.925,141.2286
"302041282204340",39.7147,141.1753
"302041282204360",39.7017,141.1233
"302041282204380",39.3925,141.1503
"302041282204390",39.3792,141.1064
"302041282204400",39.205,141.1594
"302041282204420",39.1858,141.1814
"302041282204430",39.0164,141.0894
"302041282204440",38.9436,141.0525
"302041282204450",38.9281,141.1289
"302041282204460",38.9289,141.2522
"302041282204470",38.8961,141.2872
"302041282204480",38.8611,141.3197
"302041282204490",38.9761,141.2406
"302041282207050",38.6028,141.2983
"302041282207080",38.6586,141.2864
"302041282207090",38.7042,141.2881
"302041282207100",38.7636,141.2708
"302041282207140",38.5258,141.2275
"302041282207150",38.6036,141.2808
"302041282207190",38.5464,141.1267
"302041282207200",38.5647,141.0256
"302041282207210",38.5678,141.0133
"302041282207220",38.5814,140.9775
"302041282207250",38.5708,140.9822
"302041282220010",39.1017,140.8711
"302041282220020",39.0767,140.8639
"302041282220060",39.1303,141.0069
"302041282220070",39.3989,140.7692
"302041282220080",39.2914,141.0706
"302041282220090",39.3597,141.5503
"302041282220100",39.32,141.4611
"302041282220110",39.2978,141.3814
"302041282220130",39.3614,141.2833
"302041282220140",39.8722,141.1781
"302041282220150",39.8742,141.1608
"302041282220160",39.8342,141.1608
"302041282220180",39.6897,140.9453
"302041282220190",39.6911,140.9578
"302041282220200",39.6542,140.9533
"302051282201020",40.5169,141.4703
"302051282201030",40.4856,141.4286
"302051282201040",40.4444,141.3481
"302051282201050",40.2597,141.2906
"302051282201060",40.1303,141.3653
"302051282201070",40.2375,141.2333
"302051282201990",40.5022,141.4447
"302061282202010",40.7542,141.2333
"302061282202020",40.7381,141.2444
"302061282202030",40.7139,141.2792
"302061282202040",40.7,141.3203
"302061282202050",40.6933,141.3253
"302061282202080",40.7781,141.2581
"302071282201030",40.9111,140.4181
"302071282201040",40.81,140.4372
"302071282201050",40.6944,140.4539
"302071282201070",40.5919,140.4167
"302071282201080",40.645,140.4947
"302071282201090",40.6303,140.5019
"302071282201100",40.5519,140.5467
"302071282222010",40.6428,140.5183
"302071282222020",40.6414,140.5292
"302071282222030",40.6075,140.6647
"302071282222040",40.5236,140.7233
"302091282209010",39.5478,140.2244
"302091282209020",39.6147,140.1572
"302091282209050",39.5561,140.26
"302091282209060",39.6556,140.1694
"302091282209070",39.7147,140.0947
"302091282210020",39.5494,140.3608
"302091282210030",39.4842,140.4217
"302091282210040",39.4503,140.4669
"302091282210050",39.3414,140.4392
"302091282210060",39.2761,140.4006
"302091282210080",39.1894,140.4514
"302091282210090",39.1086,140.4769
"302091282210100",39.0756,140.4539
"302091282210110",39.5408,140.5269
"302091282210120",39.6886,140.555
"302091282210130",39.2056,140.5161
"302091282210140",39.1986,140.5828
"302091282210150",39.0031,140.4692
"302091282210960",39.3056,140.5753
"302091282226010",39.6064,140.6222
"302091282226020",39.9261,140.7092
"302091282226030",39.8617,140.7106
"302101282209010",39.2314,140.1481
"302101282209020",39.2717,140.1117
"302101282209030",39.3158,140.1011
"302101282209040",39.3536,140.0697
"302101282209050",39.3756,140.0661
"302101282209070",39.1578,140.2533
"302101282209080",39.3219,140.1761
"302101282209090",39.3439,140.0908
"302101282209100",39.4158,140.07
"302111282214010",38.4814,140.35
"302111282214020",38.4211,140.3264
"302111282214040",38.3403,140.2858
"302111282214050",38.3694,140.2394
"302111282214060",38.3503,140.1978
"302111282214070",38.3036,140.1358
"302111282214080",38.1983,140.1022
"302111282214090",38.1139,140.0483
"302111282214100",38.0664,140.0647
"302111282214130",37.9861,140.1417
"302111282214140",37.9442,140.1267
"302111282214160",38.3967,140.2833
"302111282214170",38.3472,140.3072
"302111282214180",38.2922,140.2792
"302111282215010",38.7589,140.0644
"302111282215030",38.8197,139.9764
"302111282215040",38.8797,139.9075
"302111282215050",38.8872,139.8419
"302111282215080",38.8842,139.8383
"302111282216010",38.7767,140.0175
"302111282216050",38.7383,140.1433
"302111282216060",38.7456,140.1942
"302111282216070",38.7989,140.2128
"302111282216080",38.8683,140.2289
"302111282216100",38.86,140.2503
"302111282216120",38.8639,140.2803
"302111282216140",38.7019,140.2319
"302111282216150",38.6872,140.2347
"302111282216170",38.6042,140.1653
"302111282216180",38.6906,140.2778
"302111282216190",38.7556,140.4258
"302111282216200",38.6625,140.2881
"302111282216210",38.5892,140.3692
"302111282221010",37.9181,139.8861
"302111282221020",37.9131,139.9153
"302111282221030",38.0114,139.9664
"302111282221040",38.0269,139.9867
"302111282221050",38.3914,139.9969
"302111282221060",38.4489,140.0533
"302121282215010",38.6067,139.8331
"302121282215020",38.6306,139.8478
"302121282215040",38.7256,139.8508
"302121282215050",38.7728,139.8494
"302121282215070",38.8411,139.8144
"302121282227010",38.6172,139.84
"302121282227020",38.6172,139.84
"302121282227030",38.5897,139.8517
"302121282227050",38.5711,139.9233
"303011283322010",36.6328,140.3972
"303011283322020",36.5525,140.4267
"303011283322040",36.4964,140.5544
"303011283322050",36.495,140.5675
"303011283322070",36.5414,140.4714
"303011283322080",36.5369,140.5406
"303021283322020",36.3769,140.4803
"303021283322030",36.4208,140.4347
"303021283322040",36.55,140.3258
"303021283322060",36.7558,140.1431
"303021283322070",36.8569,140.1186
"303021283322100",36.3694,140.4978
"303031283301010",35.9222,139.9778
"303031283301020",35.9817,139.89
"303031283301030",36.1431,139.6983
"303031283301040",36.1947,139.5153
"303031283301050",36.2408,139.3833
"303031283301060",36.2644,139.1981
"303031283301070",36.3128,139.12
"303031283301090",36.1931,139.6961
"303031283301100",36.2544,139.6542
"303031283301110",36.2619,139.7475
"303031283301150",36.2925,139.7325
"303031283303170",36.1136,140.1428
"303031283303180",36.1842,140.2594
"303031283303190",35.9436,140.2506
"303031283303200",36.0111,140.2647
"303031283303210",36.1694,140.3519
"303031283303220",36.1581,140.4756
"303031283303230",36.1567,140.5117
"303031283305120",35.8508,139.8944
"303031283305140",35.9383,139.8497
"303031283305170",36.0903,139.7761
"303031283305190",36.1033,139.7892
"303031283305210",36.1217,139.7664
"303031283305520",35.8842,139.8383
"303031283305540",35.955,139.8053
"303031283305570",35.9164,139.8083333
"303031283305600",35.9125,139.8016667
"303031283305610",35.8978,139.7869
"303031283305780",35.8869,139.7417
"303031283306020",36.2683,139.5931
"303031283306050",36.3019,139.5028
"303031283306080",36.3339,139.4447
"303031283306090",36.3553,139.3869
"303031283306170",36.4344,139.2803
"303031283306220",36.2806,139.5772
"303031283306300",36.2789,139.5017
"303031283306420",36.3056,139.5336
"303031283306540",36.4067,139.35
"303031283307010",36.75,139.7983
"303031283307020",36.7481,139.8014
"303031283307080",36.5422,139.9472
"303031283307100",36.2906,139.9114
"303031283307110",36.2258,139.9117
"303031283307130",36.1525,139.9492
"303031283307160",36.0217,139.985
"303031283307200",36.4328,140.0653
"303031283307210",36.3919,140.0311
"303031283307230",36.2906,139.9981
"303031283307240",36.25,139.9964
"303031283307270",36.1072,139.9986
"303031283307330",36.0036,139.9922
"303031283307380",35.9253,140.1286
"303031283307390",36.4092,139.9878
"303031283314010",36.5503,138.7839
"303031283317010",36.5519,138.9214
"303031283323030",36.3217,139
"303031283323040",36.2911,139.0761
"303031283323050",36.2797,139.1239
"303031283323060",36.3208,138.8883
"303031283323070",36.2606,139.0256
"303031283323090",36.1936,139.0636
"303031283323100",36.2722,139.1286
"303031283323110",36.1919,138.96
"303031283323120",36.4189,138.7953
"303031283323130",36.2778,139.1564
"303031283323140",36.2172,138.8031
"303041283308010",36.1125,139.1975
"303041283308020",36.1353,139.2822
"303041283308040",36.0839,139.4383
"303041283308050",35.9853,139.5194
"303041283308060",35.8908,139.5597
"303041283308080",36.0919,139.4294
"303041283308110",36.0181,139.4811
"303041283308140",35.9219,139.4544
"303041283308150",35.9561,139.4742
"303041283308160",35.9528,139.5111
"303041283308170",35.9658,139.345
"303041283308180",35.9789,139.3781
"303041283308190",35.9836,139.4019
"303041283308200",35.9561,139.4742
"303041283308210",35.9772,139.3911
"303041283308220",36.0192,139.3819
"303041283308230",36.0081,139.4208
"303041283308240",35.9353,139.4417
"303041283308300",35.9881,139.4367
"303051283310050",35.6442,139.5278
"303051283310060",35.6819,139.4122
